key;nl;en;fr
cookies.analitics.text;Wij gebruiken analytische cookies om bij te houden en te analyseren hoe gebruikers onze website gebruiken. Het gebruik van software voor webanalyse helpt ons te begrijpen hoe bezoekers onze website ervaren. We houden onder meer bij: hoeveel tijd bezoekers doorbrengen op de website, welke pagina’s zij bezoeken, waar men op de pagina klikt en tot hoe ver men scrolt. Deze gegevens worden zo veel mogelijk geanonimiseerd of gepseudonimiseerd.;We use analytical cookies to track and analyze how users use our website. Using web analytics software helps us understand how visitors experience our website. Among other things, we track: how much time visitors spend on the website, which pages they visit, where they click on the page and how far they scroll. This data is anonymized or pseudonymized as much as possible.;Nous utilisons des cookies analytiques pour suivre et analyser la manière dont les utilisateurs se servent de notre site web. L'utilisation d'un logiciel d'analyse web nous aide à comprendre comment les visiteurs utilisent notre site web. Nous suivons notamment le temps que les visiteurs passent sur le site, les pages qu'ils visitent, l'endroit où ils cliquent sur la page et la distance qu'ils parcourent. Ces données sont anonymisées ou pseudonymisées dans la mesure du possible.
cookies.analitics.title;Analytische cookies;Analytical cookies;Cookies analytiques
cookies.button.accept-all;Alle cookies toestaan;Allow all cookies;Autoriser tous les cookies
cookies.button.accept-and-close;Akkoord en sluiten;Accept and close;Accord et fermer
cookies.button.confirm-choice;Keuze bevestigen;Confirm choice;Confirmer le choix
cookies.button.only-necessary;Alleen noodzakelijk;Only necessary;Seulement nécessaire
cookies.button.set-cookies;Cookies instellen;Set cookies;Paramétrage des cookies
cookies.essential.text;Deze cookies zijn nodig voor het goed functioneren van de website en kunnen niet worden geweigerd.;These cookies are necessary for the proper functioning of the website and cannot be refused.;Ces cookies sont nécessaires au bon fonctionnement du site web et ne peuvent être refusés.
cookies.essential.title;Essentiële en functionele cookies;Essential and functional cookies;Cookies essentiels et fonctionnels
cookies.intro;Wij en onze partners gebruiken cookies om de website goed te kunnen laten werken, voor het optimaliseren van jouw gebruikerservaring en het bijhouden van statistieken. We gebruiken enkel met jouw toestemming optionele cookies voor marketingdoeleinden zoals het tonen van gepersonaliseerde advertenties. Lees er meer over in onze;We and our partners use cookies to make the website work properly, to optimize your user experience and to track statistics. We use optional cookies for marketing purposes such as showing personalized ads only with your permission. Read more about them in our;Nos partenaires et nous-mêmes utilisons des cookies pour assurer le bon fonctionnement du site web, optimiser votre expérience d'utilisateur et tenir des statistiques. Nous utilisons des cookies facultatifs à des fins de marketing, par exemple pour afficher des publicités personnalisées, uniquement avec votre consentement. Pour en savoir plus, consultez notre
cookies.marketing.text;We maken gebruik van marketingcookies voor advertentie- en (re)marketingdoeleinden. Hiermee kunnen we de effectiviteit van onze campagnes en advertenties meten en verbeteren. Deze cookies worden enkel geplaatst nadat je hiervoor toestemming hebt gegeven.;We use marketing cookies for advertising and (re)marketing purposes. This allows us to measure and improve the effectiveness of our campaigns and advertisements. These cookies are only set after you have given your consent.;Nous utilisons des cookies marketing à des fins de publicité et de (re)marketing. Cela nous permet de mesurer et d'améliorer l'efficacité de nos campagnes et de nos publicités. Ces cookies ne sont installés qu'après que vous ayez donné votre accord.
cookies.marketing.title;Marketingcookies;Marketing cookies;Cookies marketing
cookies.outro;Je kunt jouw keuze op elk gewenst moment wijzigen via de cookieinstellingen onderaan de website;You can change your choice at any time via the cookie settings at the bottom of the website;Vous pouvez modifier votre choix à tout moment via les paramètres des cookies au bas du site web.
cookies.statement;cookieverklaring;cookie statement;déclaration relative aux cookies
cookies.title;Hi, voor je verder gaat… eerst even jouw beslissing.;Hi, before you go on ... first your decision.;Bonjour, avant d'aller plus loin... d'abord votre décision.
cookies.video.text;Wanneer we video’s van bijvoorbeeld Youtube of Vimeo integreren op onze website, plaatsen deze partijen cookies om meer te weten te komen over jouw surfgedrag. Indien je deze cookies niet toelaat, zullen we deze content niet tonen.;When we integrate videos from Youtube or Vimeo, for example, on our website, these parties place cookies to learn more about your surfing behavior. If you do not allow these cookies, we will not show this content.;Lorsque nous intégrons des vidéos provenant, par exemple, de YouTube ou de Vimeo sur notre site web, ces parties placent des cookies pour en savoir plus sur votre comportement de navigation. Si vous n'autorisez pas ces cookies, nous n'afficherons pas ce contenu.
cookies.video.title;Video-cookies;Video cookies;Vidéo cookies